IP,VALUE
8.52.234.198,0
8.52.216.93,1
8.52.206.132,16
8.52.204.46,1
8.52.202.3,1
8.52.179.242,2
8.52.178.8,5
8.52.176.250,1
8.52.176.238,2
8.52.172.231,1
8.52.171.81,3
8.52.171.245,2
8.52.160.151,0
8.52.148.110,2
8.52.148.103,2
8.52.142.35,1
8.52.140.75,3
8.52.140.74,7
8.52.140.244,1
8.52.140.240,1
8.52.140.231,1
8.52.140.230,2
8.52.140.229,3
8.52.140.228,3
8.52.140.227,1
8.52.140.226,3
8.52.140.212,2
8.52.140.211,1
8.52.140.210,1
8.52.140.101,1
8.52.139.3,1
8.52.138.7,1
8.52.138.3,132
8.52.138.244,3
8.52.138.21,9
8.52.138.195,1
8.52.138.193,2
8.52.138.191,2
8.52.138.159,1
8.52.138.131,1
8.52.136.75,1
8.52.132.75,1
8.52.129.219,1
8.52.128.206,1
8.51.80.112,0
8.50.242.249,0
8.50.240.9,0
8.50.240.4,0
8.50.240.35,0
8.50.240.19,0
8.50.240.153,1
8.50.218.221,0
8.50.128.207,1
8.50.128.206,2
8.50.120.247,0
8.50.113.246,0
8.50.112.89,0
8.50.112.81,0
8.50.112.26,0
8.50.112.254,0
8.50.112.247,1
8.50.112.246,6
8.50.112.241,0
8.5.128.2,0
8.49.219.246,1
8.48.206.132,2
8.48.142.3,1
8.48.140.231,1
8.48.138.3,2
8.48.138.191,1
8.48.112.246,2
8.47.236.221,0
8.46.236.221,20
8.46.204.221,0
8.44.236.221,1
8.41.216.221,1
8.4.168.11,0
8.39.88.247,0
8.39.240.35,0
8.39.216.255,0
8.39.216.247,19
8.39.216.246,1
8.39.216.245,0
8.39.216.243,0
8.39.208.247,1
8.37.216.247,1
8.37.216.222,1
8.37.216.221,5
8.37.216.217,0
8.37.152.221,1
8.36.236.183,0
8.36.236.173,0
8.36.140.212,1
8.36.138.3,1
8.35.220.58,1
8.35.220.147,0
8.33.251.246,0
8.33.251.118,0
8.33.219.246,16
8.33.218.221,0
8.33.217.246,0
8.33.216.221,12
8.33.120.213,0
8.32.216.221,1
8.31.88.207,1
8.3.220.9,0
8.3.220.78,0
8.3.220.61,0
8.3.220.60,0
8.3.220.57,0
8.3.220.43,0
8.3.220.31,0
8.3.220.229,2
8.3.220.228,0
8.3.220.224,1
8.3.220.221,1
8.3.220.217,1
8.3.220.160,1
8.3.220.159,0
8.3.220.144,0
8.3.220.143,0
8.3.220.123,0
8.3.220.117,1
8.3.220.110,0
8.3.220.109,1
8.3.220.103,0
8.3.220.102,1
8.3.216.77,0
8.3.216.226,0
8.3.216.221,1
8.3.204.43,1
8.3.204.26,1
8.3.204.178,1
8.3.156.87,1
8.28.88.207,1
8.28.88.206,6
8.28.88.202,1
8.28.248.253,4
8.28.138.67,1
8.27.248.242,1
8.27.112.246,1
8.27.112.242,1
8.26.248.242,4
8.26.112.58,0
8.26.112.26,0
8.26.112.246,3
8.25.88.207,1
8.25.88.206,1
8.25.249.221,1
8.244.217.221,0
8.242.219.221,0
8.242.218.223,0
8.242.218.221,1
8.24.92.230,0
8.24.88.222,1
8.24.88.207,78
8.24.88.206,128
8.24.88.205,3
8.24.88.202,3
8.24.88.198,2
8.24.80.206,1
8.24.252.253,1
8.24.249.253,1
8.24.249.229,2
8.24.249.228,3
8.24.249.227,4
8.24.249.225,77
8.24.249.224,1
8.24.249.221,8
